Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common
200, GJ40-303977, J. Non-Crystalline Solids, 2011, v. 357  p. 002984, 4.698, 28.5, 2185.4
201, GP02-331317, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.5, 86.0, 5821.2
202, GP03-331318, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.52, 86.5, 5899.6
203, GP02-331319, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.52, 86.7, 5987.8
204, GP03-331320, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.53, 87.8, 6027.0
205, GP02-331321, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.56, 83.8, 6193.6
206, GP03-331322, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.54, 83.3, 6027.0
207, GP03-331323, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.54, 82.8, 6007.4
208, GP03-331324, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.52, 82.4, 5772.2
209, GP03-331325, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.53, 82.5, 5968.2
210, GP03-331326, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.54, 85.2, 5948.6
211, GP03-331327, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.53, 84.9, 5880.0
212, GP03-331328, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.52, 83.2, 5880.0
213, GP03-331329, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.53, 83.8, 5899.6
214, GP03-331330, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.52, 82.6, 5880.0
215, GP03-331331, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.52, 83.0, 5870.2
216, GP03-331332, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.54, 85.7, 5840.8
217, GP03-331333, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.55, 85.0, 5880.0
218, GP02-331334, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.51, 83.0, 5899.6
219, GP03-331335, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.5, 82.6, 5909.4
220, GP03-331336, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.53, 82.5, 5987.8
221, GP02-331337, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.54, 85.3, 5889.8
222, GP03-331338, Japanese Patent    Konica Minolta (J), 2012, AW001914, 2.53, 82.0, 5889.8
223, GJ03-344259, J. Non-Crystalline Solids, 2021, a. 120554, 2.752, 77.38, 4730.0
224, XJ03-344260, J. Non-Crystalline Solids, 2021, a. 120554, 2.819, 100.45, 7390.0
225, GJ03-344265, J. Non-Crystalline Solids, 2021, a. 120554, 2.747, 84.87, 5150.0
226, XJ03-344266, J. Non-Crystalline Solids, 2021, a. 120554, 2.784, 102.2, 7810.0
