 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
434 68.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0
435 63.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0
436 58.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0
437 53.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 0.0 0.0
438 65.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0
439 60.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0
440 68.0 0.0 0.0 0.0 0.0 5.0 0.0 27.0 0.0 0.0 0.0
441 63.0 0.0 0.0 0.0 0.0 10.0 0.0 27.0 0.0 0.0 0.0
442 58.0 0.0 0.0 0.0 0.0 15.0 0.0 27.0 0.0 0.0 0.0
443 53.0 0.0 0.0 0.0 0.0 20.0 0.0 27.0 0.0 0.0 0.0
444 50.0 0.0 0.0 0.0 0.0 30.0 0.0 20.0 0.0 0.0 0.0
445 55.0 0.0 0.0 0.0 0.0 25.0 0.0 20.0 0.0 0.0 0.0
446 60.0 0.0 0.0 0.0 0.0 10.0 0.0 30.0 0.0 0.0 0.0
447 68.0 0.0 0.0 0.0 5.0 0.0 0.0 27.0 0.0 0.0 0.0
448 63.0 0.0 0.0 0.0 10.0 0.0 0.0 27.0 0.0 0.0 0.0
449 58.0 0.0 0.0 0.0 15.0 0.0 0.0 27.0 0.0 0.0 0.0
450 53.0 0.0 0.0 0.0 20.0 0.0 0.0 27.0 0.0 0.0 0.0
451 68.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 5.0 0.0
452 63.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 10.0 0.0
453 58.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 15.0 0.0
454 53.0 0.0 0.0 0.0 0.0 0.0 0.0 27.0 0.0 20.0 0.0
455 65.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 20.0
456 60.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 25.0
457 55.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 30.0
458 50.0 0.0 0.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 35.0
459 75.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 5.0
460 70.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 10.0
461 65.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 15.0
462 55.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 25.0
463 70.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 5.0
464 65.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 10.0
465 50.0 0.0 0.0 0.0 0.0 0.0 0.0 31.25 0.0 0.0 18.75
466 65.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 5.0
467 60.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 10.0
468 55.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 15.0
469 60.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 5.0
470 55.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 10.0
471 50.0 0.0 0.0 0.0 0.0 0.0 0.0 35.0 0.0 0.0 15.0
472 65.4 15.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
473 68.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
475 70.8 16.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
476 66.6 16.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
477 62.5 16.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
478 73.9 17.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
479 69.6 17.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
480 65.2 17.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
481 60.9 17.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
482 72.7 18.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
483 68.2 18.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
484 63.6 18.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
485 66.7 19.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
486 71.4 19.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
487 70.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
490 75.0 10.5 0.0 0.0 0.0 14.5 0.0 0.0 0.0 0.0 0.0
493 77.5 11.0 0.0 0.0 0.0 11.5 0.0 0.0 0.0 0.0 0.0
494 76.2 11.0 0.0 0.0 0.0 12.8 0.0 0.0 0.0 0.0 0.0
496 65.5 11.0 0.0 0.0 0.0 23.5 0.0 0.0 0.0 0.0 0.0
498 61.7 11.0 0.0 0.0 0.0 27.3 0.0 0.0 0.0 0.0 0.0
500 56.7 11.0 0.0 0.0 0.0 32.3 0.0 0.0 0.0 0.0 0.0
504 70.0 11.8 0.0 0.0 0.0 18.2 0.0 0.0 0.0 0.0 0.0
509 65.5 16.0 0.0 0.0 0.0 18.5 0.0 0.0 0.0 0.0 0.0
512 59.6 16.0 0.0 0.0 0.0 24.4 0.0 0.0 0.0 0.0 0.0
528 54.6 22.0 0.0 0.0 0.0 23.4 0.0 0.0 0.0 0.0 0.0
