 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
15393 55.61 0.0 22.28 0.0 0.0 22.11 0.0 0.0 0.0 0.0 0.0
15394 54.67 0.0 22.51 0.0 0.0 22.34 0.0 0.0 0.0 0.0 0.0
15395 53.81 0.0 22.7 0.0 0.0 22.52 0.0 0.0 0.0 0.0 0.0
15396 51.86 0.0 23.18 0.0 0.0 22.98 0.0 0.0 0.0 0.0 0.0
15397 49.91 0.0 23.62 0.0 0.0 23.44 0.0 0.0 0.0 0.0 0.0
15398 47.78 0.0 24.14 0.0 0.0 23.95 0.0 0.0 0.0 0.0 0.0
15436 83.34 13.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15508 49.68 35.64 4.68 0.0 0.0 0.0 0.0 9.99 0.0 0.0 0.0
15509 59.19 31.3 9.51 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15510 61.59 13.64 0.0 0.0 0.0 0.0 0.0 24.77 0.0 0.0 0.0
15533 60.75 0.0 8.93 0.0 0.0 0.0 0.0 29.01 0.0 0.0 0.0
15534 69.87 0.0 6.85 0.0 0.0 0.0 0.0 21.87 0.0 0.0 0.0
15535 75.34 0.0 5.59 0.0 0.0 0.0 0.0 17.73 0.0 0.0 0.0
15536 79.23 0.0 4.67 0.0 0.0 0.0 0.0 14.78 0.0 0.0 0.0
15537 81.43 0.0 4.0 0.0 0.0 0.0 0.0 13.25 0.0 0.0 0.0
15631 53.28 4.05 8.62 9.92 17.91 6.23 0.0 0.0 0.0 0.0 0.0
15806 60.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15807 65.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15808 54.5 0.0 9.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15870 74.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0
15874 68.75 15.14 0.19 0.0 6.71 0.0 0.2 0.0 0.0 0.0 0.0
15875 69.19 18.16 0.0 0.0 0.0 0.0 0.7 0.0 0.0 0.0 0.0
