Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density,,,,Common,,
OR,Young's Modulus,,,,Common,,
OR,Vickers Hardness,,,,Common,,
OR,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,350000,500000
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, Thermal Treatment, Bulk Density ( g/cm3 ), Density (Miscell) ( g/cm3 ), Density at RT ( g/cm3 ), Young's Modulus (Miscell) ( GPa ), Young's Modulus at <0C ( GPa ), Young's Modulus at RT ( GPa ), Fracture Toughness ( MPa.m1/2 ), Vickers Hardness (Typical) ( MPa ), Vickers Hardness 50g ( MPa ), Vickers Hardness 100g ( MPa ), Vickers Hardness 200g ( MPa ), Vickers Hardness 500g ( MPa ), Vickers Hardness (Miscell) ( MPa )
168, GP06-350593, Japanese Patent    AGC (J), 2012, A232882, , , , 2.48, , , 86.1, , , , , , , 
169, GP06-350594, Japanese Patent    AGC (J), 2012, A232882, , , , 2.45, , , 84.6, , , , , , , 
170, GP06-350595, Japanese Patent    AGC (J), 2012, A232882, , , , 2.49, , , 86.1, , , , , , , 
171, GP06-350596, Japanese Patent    AGC (J), 2012, A232882, , , , 2.41, , , 85.4, , , , , , , 
172, GP06-350597, Japanese Patent    AGC (J), 2012, A232882, , , , 2.46, , , 86.0, , , , , , , 
173, GP06-350598, Japanese Patent    AGC (J), 2012, A232882, , , , 2.44, , , 86.2, , , , , , , 
174, GP06-350599, Japanese Patent    AGC (J), 2012, A232882, , , , 2.46, , , 86.4, , , , , , , 
175, GP06-350600, Japanese Patent    AGC (J), 2012, A232882, , , , 2.45, , , 85.9, , , , , , , 
176, GP06-350601, Japanese Patent    AGC (J), 2012, A232882, , , , 2.47, , , 88.0, , , , , , , 
177, GP06-350602, Japanese Patent    AGC (J), 2012, A232882, , , , 2.46, , , 88.0, , , , , , , 
178, GP05-350613, Japanese Patent    Hoya Corp. (J), 2012, A232885, , , , 3.94, , , , , , , , , , 
179, GP10-350614, Japanese Patent    Hoya Corp. (J), 2012, A232885, , , , 3.96, , , , , , , , , , 
180, GP10-350615, Japanese Patent    Hoya Corp. (J), 2012, A232885, , , , 3.96, , , , , , , , , , 
181, GP10-350616, Japanese Patent    Hoya Corp. (J), 2012, A232885, , , , 4.02, , , , , , , , , , 
182, GP10-350617, Japanese Patent    Hoya Corp. (J), 2012, A232885, , , , 4.05, , , , , , , , , , 
183, GP10-350618, Japanese Patent    Hoya Corp. (J), 2012, A232885, , , , 3.88, , , , , , , , , , 
184, GP10-350619, Japanese Patent    Hoya Corp. (J), 2012, A232885, , , , 4.09, , , , , , , , , , 
185, GP10-350620, Japanese Patent    Hoya Corp. (J), 2012, A232885, , , , 4.11, , , , , , , , , , 
186, GP10-350621, Japanese Patent    Hoya Corp. (J), 2012, A232885, , , , 4.07, , , , , , , , , , 
187, GP10-350622, Japanese Patent    Hoya Corp. (J), 2012, A232885, , , , 4.15, , , , , , , , , , 
188, GP03-350682, Japanese Patent    Nippon Electric Glass (J), 2012, A236759, , , , 2.64, , , , , , , , , , 
189, GP03-350683, Japanese Patent    Nippon Electric Glass (J), 2012, A236759, , , , 2.65, , , 82.0, , , , , , , 
190, GP03-350684, Japanese Patent    Nippon Electric Glass (J), 2012, A236759, , , , 2.63, , , 81.0, , , , , , , 
191, GP03-350685, Japanese Patent    Nippon Electric Glass (J), 2012, A236759, , , , 2.64, , , 81.0, , , , , , , 
192, GP03-350686, Japanese Patent    Nippon Electric Glass (J), 2012, A236759, , , , 2.64, , , 81.0, , , , , , , 
193, GP03-350687, Japanese Patent    Nippon Electric Glass (J), 2012, A236759, , , , 2.65, , , 79.0, , , , , , , 
194, GP03-350688, Japanese Patent    Nippon Electric Glass (J), 2012, A236759, , , , 2.65, , , 79.0, , , , , , , 
195, GP03-350689, Japanese Patent    Nippon Electric Glass (J), 2012, A236759, , , , , , , 79.0, , , , , , , 
196, GP03-350690, Japanese Patent    Nippon Electric Glass (J), 2012, A236759, , , , 2.56, , , 83.0, , , , , , , 
197, GP03-350691, Japanese Patent    Nippon Electric Glass (J), 2012, A236759, , , , 2.57, , , 83.0, , , , , , , 
198, GP03-350702, Japanese Patent    Nippon Electric Glass (J), 2012, A254933, , , , 2.87, , , , , , , , , , 
199, GP03-350703, Japanese Patent    Nippon Electric Glass (J), 2012, A254933, , , , 2.84, , , , , , , , , , 
200, GP03-350704, Japanese Patent    Nippon Electric Glass (J), 2012, A254933, , , , 2.99, , , , , , , , , , 
201, GP03-350705, Japanese Patent    Nippon Electric Glass (J), 2012, A254933, , , , 2.85, , , , , , , , , , 
202, GP02-350706, Japanese Patent    AGC (J), 2012, A256389, , , , 2.47, , , 83.0, , , , , , , 
203, GP02-350707, Japanese Patent    AGC (J), 2012, A256389, , , , 2.47, , , 83.0, , , , , , , 
204, GP02-350708, Japanese Patent    AGC (J), 2012, A256389, , , , 2.5, , , 83.0, , , , , , , 
205, GP02-350709, Japanese Patent    AGC (J), 2012, A256389, , , , 2.47, , , 81.0, , , , , , , 
206, GP02-350710, Japanese Patent    AGC (J), 2012, A256389, , , , 2.46, , , 83.0, , , , , , , 
207, GP03-350711, Japanese Patent    AGC (J), 2012, A256389, , , , 2.5, , , 77.0, , , , , , , 
208, GP03-350712, Japanese Patent    AGC (J), 2012, A256389, , , , 2.66, , , 80.0, , , , , , , 
209, GP03-350713, Japanese Patent    AGC (J), 2012, A256389, , , , 2.4, , , 72.0, , , , , , , 
210, GP03-350714, Japanese Patent    AGC (J), 2012, A256389, , , , 2.49, , , 68.0, , , , , , , 
211, GP03-350765, Japanese Patent    Schott AG (DE), 2012, A519149, , , , 3.81, , , , , , , , , , 
212, GP03-350767, Japanese Patent    Schott AG (DE), 2012, A519149, , , , 3.7, , , , , , , , , , 
213, GP03-350771, Japanese Patent    Schott AG (DE), 2012, A519149, , , , 3.58, , , , , , , , , , 
214, GP03-350773, Japanese Patent    Schott AG (DE), 2012, A519149, , , , 3.56, , , , , , , , , , 
215, GP06-350775, Japanese Patent    Schott Glas (Jena) (DE), 2012, A520226, , , , 2.478, , , , , , , , , , 
216, GP06-350776, Japanese Patent    Schott Glas (Jena) (DE), 2012, A520226, , , , 2.448, , , , , , , , , , 
217, GP06-350777, Japanese Patent    Schott Glas (Jena) (DE), 2012, A520226, , , , 2.468, , , , , , , , , , 
218, GP06-350778, Japanese Patent    Schott Glas (Jena) (DE), 2012, A520226, , , , 2.443, , , , , , , , , , 
219, GP06-350779, Japanese Patent    Schott Glas (Jena) (DE), 2012, A520226, , , , 2.479, , , , , , , , , , 
220, XP06-350780, Japanese Patent    Schott Glas (Jena) (DE), 2012, A520226, 900C 15min, , , 2.547, , , , , , , , , , 
221, XP06-350781, Japanese Patent    Schott Glas (Jena) (DE), 2012, A520226, 875C 10min, , , 2.526, , , , , , , , , , 
222, XP06-350782, Japanese Patent    Schott Glas (Jena) (DE), 2012, A520226, 890C 10min, , , 2.548, , , , , , , , , , 
223, XP06-350783, Japanese Patent    Schott Glas (Jena) (DE), 2012, A520226, 915C 5min, , , 2.54, , , , , , , , , , 
224, XP06-350784, Japanese Patent    Schott Glas (Jena) (DE), 2012, A520226, 915C 3min, , , 2.543, , , , , , , , , , 
225, GP25-350791, Japanese Patent    CDGM Glass (CN), 2012, A521942, , , , 3.8, , , , , , , , , , 
226, GP25-350792, Japanese Patent    CDGM Glass (CN), 2012, A521942, , , , 3.8, , , , , , , , , , 
227, GP25-350793, Japanese Patent    CDGM Glass (CN), 2012, A521942, , , , 3.73, , , , , , , , , , 
228, GP25-350794, Japanese Patent    CDGM Glass (CN), 2012, A521942, , , , 3.73, , , , , , , , , , 
229, GP25-350795, Japanese Patent    CDGM Glass (CN), 2012, A521942, , , , 3.7, , , , , , , , , , 
230, GP25-350796, Japanese Patent    CDGM Glass (CN), 2012, A521942, , , , 3.74, , , , , , , , , , 
231, GP25-350797, Japanese Patent    CDGM Glass (CN), 2012, A521942, , , , 3.71, , , , , , , , , , 
232, GP25-350798, Japanese Patent    CDGM Glass (CN), 2012, A521942, , , , 3.71, , , , , , , , , , 
233, GP02-350799, Japanese Patent    CDGM Glass (CN), 2012, A521961, , , , , , , , , 5410.0, , , , , 5410.0
234, GP02-350800, Japanese Patent    CDGM Glass (CN), 2012, A521961, , , , , , , , , 5470.0, , , , , 5470.0
235, GP02-350801, Japanese Patent    CDGM Glass (CN), 2012, A521961, , , , , , , , , 5480.0, , , , , 5480.0
236, GP02-350802, Japanese Patent    CDGM Glass (CN), 2012, A521961, , , , , , , , , 5420.0, , , , , 5420.0
237, GP02-350803, Japanese Patent    CDGM Glass (CN), 2012, A521961, , , , , , , , , 5400.0, , , , , 5400.0
238, GP02-350804, Japanese Patent    CDGM Glass (CN), 2012, A521961, , , , , , , , , 5470.0, , , , , 5470.0
239, GP02-350805, Japanese Patent    CDGM Glass (CN), 2012, A521961, , , , , , , , , 5460.0, , , , , 5460.0
240, GP10-350824, Japanese Patent    Konica Minolta (J), 2011, AW065097, , , , , , , , , 7830.2, , 7830.2, , , 
241, GP10-350825, Japanese Patent    Konica Minolta (J), 2011, AW065097, , , , , , , , , 7810.6, , 7810.6, , , 
242, GP10-350826, Japanese Patent    Konica Minolta (J), 2011, AW065097, , , , , , , , , 7693.0, , 7693.0, , , 
243, GP10-350827, Japanese Patent    Konica Minolta (J), 2011, AW065097, , , , , , , , , 7653.8, , 7653.8, , , 
244, GP10-350828, Japanese Patent    Konica Minolta (J), 2011, AW065097, , , , , , , , , 7761.6, , 7761.6, , , 
245, GP10-350829, Japanese Patent    Konica Minolta (J), 2011, AW065097, , , , , , , , , 7859.6, , 7859.6, , , 
246, GP10-350830, Japanese Patent    Konica Minolta (J), 2011, AW065097, , , , , , , , , 7879.2, , 7879.2, , , 
247, GP10-350831, Japanese Patent    Konica Minolta (J), 2011, AW065097, , , , , , , , , 7957.6, , 7957.6, , , 
248, GP10-350832, Japanese Patent    Konica Minolta (J), 2011, AW065097, , , , , , , , , 7820.4, , 7820.4, , , 
249, GP10-350833, Japanese Patent    Konica Minolta (J), 2011, AW065097, , , , , , , , , 7722.4, , 7722.4, , , 
250, GP20-350951, US Patent    Hoya Corp. (J), 2012, A0238433, , , , 5.19, , , , , , , , , , 
251, GP20-350952, US Patent    Hoya Corp. (J), 2012, A0238433, , , , 5.39, , , , , , , , , , 
252, GP20-350953, US Patent    Hoya Corp. (J), 2012, A0238433, , , , 5.51, , , , , , , , , , 
253, GP20-350954, US Patent    Hoya Corp. (J), 2012, A0238433, , , , 4.99, , , , , , , , , , 
254, GP20-350955, US Patent    Hoya Corp. (J), 2012, A0238433, , , , 5.21, , , , , , , , , , 
255, GP20-350956, US Patent    Hoya Corp. (J), 2012, A0238433, , , , 5.68, , , , , , , , , , 
256, GP20-350957, US Patent    Hoya Corp. (J), 2012, A0238433, , , , 5.7, , , , , , , , , , 
257, GP20-350958, US Patent    Hoya Corp. (J), 2012, A0238433, , , , 5.48, , , , , , , , , , 
258, GP20-350959, US Patent    Hoya Corp. (J), 2012, A0238433, , , , 5.63, , , , , , , , , , 
259, GP20-350960, US Patent    Hoya Corp. (J), 2012, A0238433, , , , 5.43, , , , , , , , , , 
260, GP10-350969, US Patent    Others, 2012, A0238436, , , , , , , , , 7830.2, , 7830.2, , , 
261, GP10-350970, US Patent    Others, 2012, A0238436, , , , , , , , , 7653.8, , 7653.8, , , 
262, GP10-350971, US Patent    Others, 2012, A0238436, , , , , , , , , 7761.6, , 7761.6, , , 
263, GP10-350972, US Patent    Others, 2012, A0238436, , , , , , , , , 7751.8, , 7751.8, , , 
264, GP10-350973, US Patent    Others, 2012, A0238436, , , , , , , , , 7830.2, , 7830.2, , , 
265, GP10-350974, US Patent    Others, 2012, A0238436, , , , , , , , , 7751.8, , 7751.8, , , 
266, GP10-350975, US Patent    Others, 2012, A0238436, , , , , , , , , 7859.6, , 7859.6, , , 
267, GP10-350976, US Patent    Others, 2012, A0238436, , , , , , , , , 7957.6, , 7957.6, , , 
268, GP10-350977, US Patent    Others, 2012, A0238436, , , , , , , , , 7771.4, , 7771.4, , , 
269, GP10-350978, US Patent    Others, 2012, A0238436, , , , , , , , , 7644.0, , 7644.0, , , 
270, GP03-350979, US Patent    AGC (J), 2012, A0244388, , , , 2.5, , , , , , , , , , 
271, GP02-350988, US Patent    Corning Inc. (US), 2012, A0251743, , , , 2.45, , , , , , , , , , 
272, GP02-350989, US Patent    Corning Inc. (US), 2012, A0251743, , , , 2.45, , , , , , , , , , 
273, GP02-350990, US Patent    Corning Inc. (US), 2012, A0251743, , , , 2.452, , , 73.3, 0.7, , , , , , 
274, GP02-350992, US Patent    Corning Inc. (US), 2012, A0251743, , , , 2.35, , , , , , , , , , 
275, MP02-350994, US Patent    Corning Inc. (US), 2012, A0251743, , , , 2.439, , , 71.07, 0.68, 5390.0, , , , , 5390.0
276, MP02-350995, US Patent    Corning Inc. (US), 2012, A0251743, , , , 2.346, , , 61.62, 0.66, 4802.0, , , , , 4802.0
277, GP02-350996, US Patent    Others, 2012, A0251827, , , , 2.56, , , , , , , , , , 
278, GP02-350997, US Patent    Others, 2012, A0251827, , , , 2.47, , , , , , , , , , 
279, GP02-350998, US Patent    Others, 2012, A0251827, , , , 2.5, , , , , , , , , , 
280, GP02-350999, US Patent    Others, 2012, A0251827, , , , 2.59, , , , , , , , , , 
281, GP02-351000, US Patent    Others, 2012, A0251827, , , , 2.59, , , , , , , , , , 
282, GP02-351001, US Patent    Others, 2012, A0251827, , , , 2.49, , , , , , , , , , 
283, GP02-351002, US Patent    Others, 2012, A0251827, , , , 2.55, , , , , , , , , , 
284, GP02-351003, US Patent    Others, 2012, A0251827, , , , 2.57, , , , , , , , , , 
285, GP02-351004, US Patent    Others, 2012, A0251827, , , , 2.55, , , , , , , , , , 
286, GP02-351005, US Patent    Others, 2012, A0251827, , , , 2.55, , , , , , , , , , 
287, GP02-351032, US Patent    AGC (J), 2012, A0264585, , , , 2.48, , , 86.1, , , , , , , 
288, GP02-351033, US Patent    AGC (J), 2012, A0264585, , , , 2.45, , , 84.6, , , , , , , 
289, GP02-351034, US Patent    AGC (J), 2012, A0264585, , , , 2.48, , , 85.4, , , , , , , 
290, GP02-351035, US Patent    AGC (J), 2012, A0264585, , , , 2.46, , , 86.0, , , , , , , 
291, GP02-351036, US Patent    AGC (J), 2012, A0264585, , , , 2.4, , , 83.6, , , , , , , 
292, GP02-351037, US Patent    AGC (J), 2012, A0264585, , , , 2.44, , , 85.3, , , , , , , 
293, GP02-351038, US Patent    AGC (J), 2012, A0264585, , , , 2.45, , , 85.9, , , , , , , 
294, GP02-351039, US Patent    AGC (J), 2012, A0264585, , , , 2.45, , , 84.1, , , , , , , 
295, GP02-351040, US Patent    AGC (J), 2012, A0264585, , , , 2.46, , , 88.0, , , , , , , 
296, GP05-351041, US Patent    Hoya Corp. (J), 2012, A0270719, , , , 3.94, , , , , , , , , , 
297, GP05-351042, US Patent    Hoya Corp. (J), 2012, A0270719, , , , 3.99, , , , , , , , , , 
298, GP10-351043, US Patent    Hoya Corp. (J), 2012, A0270719, , , , 3.96, , , , , , , , , , 
299, GP10-351044, US Patent    Hoya Corp. (J), 2012, A0270719, , , , 4.02, , , , , , , , , , 
300, GP10-351045, US Patent    Hoya Corp. (J), 2012, A0270719, , , , 4.25, , , , , , , , , , 
301, GP10-351046, US Patent    Hoya Corp. (J), 2012, A0270719, , , , 4.08, , , , , , , , , , 
302, GP10-351047, US Patent    Hoya Corp. (J), 2012, A0270719, , , , 4.07, , , , , , , , , , 
303, GP10-351048, US Patent    Hoya Corp. (J), 2012, A0270719, , , , 4.04, , , , , , , , , , 
304, GP10-351049, US Patent    Hoya Corp. (J), 2012, A0270719, , , , 4.15, , , , , , , , , , 
305, GP10-351050, US Patent    Hoya Corp. (J), 2012, A0270719, , , , 4.07, , , , , , , , , , 
306, GP03-351064, US Patent    Others, 2012, A0282450, , , , 2.61, , , 83.0, , , , , , , 
307, GP03-351065, US Patent    Others, 2012, A0282450, , , , 2.57, , , 83.5, , , , , , , 
308, GP03-351066, US Patent    Others, 2012, A0282450, , , , 2.56, , , 83.0, , , , , , , 
309, GP03-351067, US Patent    Others, 2012, A0282450, , , , 2.57, , , 83.5, , , , , , , 
310, GP03-351068, US Patent    Others, 2012, A0282450, , , , 2.58, , , 84.0, , , , , , , 
311, GP03-351069, US Patent    Others, 2012, A0282450, , , , 2.59, , , 84.5, , , , , , , 
312, GP03-351070, US Patent    Others, 2012, A0282450, , , , 2.59, , , 84.0, , , , , , , 
313, GP03-351071, US Patent    Others, 2012, A0282450, , , , 2.57, , , 83.5, , , , , , , 
314, GP06-351094, US Patent    Schott AG (DE), 2012, A0302422, , , , 2.436, , , , , , , , , , 
315, GP06-351095, US Patent    Schott AG (DE), 2012, A0302422, , , , 2.446, , , , , , , , , , 
316, GP06-351096, US Patent    Schott AG (DE), 2012, A0302422, , , , 2.444, , , , , , , , , , 
317, GP06-351097, US Patent    Schott AG (DE), 2012, A0302422, , , , 2.447, , , , , , , , , , 
318, XP06-351098, US Patent    Schott AG (DE), 2012, A0302422, 790C 30min + 900C 7min., , , 2.519, , , , , , , , , , 
319, XP06-351099, US Patent    Schott AG (DE), 2012, A0302422, 790C 30min + 900C 7min., , , 2.534, , , , , , , , , , 
320, XP06-351100, US Patent    Schott AG (DE), 2012, A0302422, 790C 30min + 1120C 7min, , , 2.515, , , , , , , , , , 
321, XP06-351101, US Patent    Schott AG (DE), 2012, A0302422, 790C 30min + 1090C 7min, , , 2.522, , , , , , , , , , 
322, GP02-351127, US Patent    Corning Inc. (US), 2012, A0308803, , , , 2.323, , , 66.4, , 5700.0, , , , , 5700.0
323, GP02-351128, US Patent    Corning Inc. (US), 2012, A0308803, , , , 2.38, , , 71.8, , 6710.0, , , , , 6710.0
324, GP02-351129, US Patent    Corning Inc. (US), 2012, A0308803, , , , 2.426, , , 74.7, , 6230.0, , , , , 6230.0
325, GP02-351130, US Patent    Corning Inc. (US), 2012, A0308803, , , , 2.414, , , , , 6390.0, , , , , 6390.0
326, GP02-351131, US Patent    Corning Inc. (US), 2012, A0308803, , , , 2.467, , , 76.1, , 6760.0, , , , , 6760.0
327, GP02-351132, US Patent    Corning Inc. (US), 2012, A0308803, , , , 2.5, , , 75.2, , 6700.0, , , , , 6700.0
328, GP02-351133, US Patent    Corning Inc. (US), 2012, A0308803, , , , 2.525, , , 74.8, , 7370.0, , , , , 7370.0
329, GP02-351135, US Patent    Corning Inc. (US), 2012, A0308827, , , , 2.552, , , , , , , , , , 
330, GP02-351136, US Patent    Corning Inc. (US), 2012, A0308827, , , , 2.421, , , , , , , , , , 
331, GP02-351137, US Patent    Corning Inc. (US), 2012, A0308827, , , , 2.404, , , , , , , , , , 
332, GP02-351138, US Patent    Corning Inc. (US), 2012, A0308827, , , , 2.501, , , , , , , , , , 
333, GP02-351140, US Patent    Corning Inc. (US), 2012, A0308827, , , , 2.5, , , , , , , , , , 
334, GP02-351141, US Patent    Corning Inc. (US), 2012, A0308827, , , , 2.5, , , , , , , , , , 
335, GP10-351143, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 4.66, , , , , , , , , , 
336, GP10-351144, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 5.1, , , , , , , , , , 
337, GP05-351145, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 4.84, , , , , , , , , , 
338, GP05-351146, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 4.93, , , , , , , , , , 
339, GP10-351147, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 4.96, , , , , , , , , , 
340, GP10-351148, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 5.15, , , , , , , , , , 
341, GP05-351149, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 5.34, , , , , , , , , , 
342, GP05-351150, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 5.25, , , , , , , , , , 
343, GP10-351151, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 5.16, , , , , , , , , , 
344, GP05-351152, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 4.44, , , , , , , , , , 
345, GP05-351153, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 4.55, , , , , , , , , , 
346, GP05-351154, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 3.98, , , , , , , , , , 
347, GP10-351155, US Patent    Hoya Corp. (J), 2012, A0309605, , , , 5.65, , , , , , , , , , 
348, GP03-351220, US Patent    OCV Intellectual Capital (US), 2012, A0322933, , , , 2.935, , , , , , , , , , 
349, GP03-351221, US Patent    OCV Intellectual Capital (US), 2012, A0322933, , , , 2.913, , , , , , , , , , 
350, GP03-351222, US Patent    OCV Intellectual Capital (US), 2012, A0322933, , , , 2.986, , , , , , , , , , 
351, GP03-351223, US Patent    OCV Intellectual Capital (US), 2012, A0322933, , , , 2.992, , , , , , , , , , 
352, GP03-351224, US Patent    OCV Intellectual Capital (US), 2012, A0322933, , , , 2.931, , , , , , , , , , 
353, GP03-351225, US Patent    OCV Intellectual Capital (US), 2012, A0322933, , , , 2.891, , , , , , , , , , 
354, GP03-351226, US Patent    OCV Intellectual Capital (US), 2012, A0322933, , , , 2.875, , , , , , , , , , 
355, GP03-351227, US Patent    OCV Intellectual Capital (US), 2012, A0322933, , , , 2.849, , , , , , , , , , 
356, GP06-351242, European Patent    Nippon Electric Glass (J), 2012, A2594536, , , , 2.5, , , , , , , , , , 
357, GP06-351243, European Patent    Nippon Electric Glass (J), 2012, A2594536, , , , 2.53, , , , , , , , , , 
358, GP06-351244, European Patent    Nippon Electric Glass (J), 2012, A2594536, , , , 2.5, , , , , , , , , , 
359, GP06-351245, European Patent    Nippon Electric Glass (J), 2012, A2594536, , , , 2.55, , , , , , , , , , 
360, GP06-351246, European Patent    Nippon Electric Glass (J), 2012, A2594536, , , , 2.56, , , , , , , , , , 
361, GP06-351247, European Patent    Nippon Electric Glass (J), 2012, A2594536, , , , 2.48, , , , , , , , , , 
362, GP06-351248, European Patent    Nippon Electric Glass (J), 2012, A2594536, , , , 2.47, , , , , , , , , , 
363, GP02-351249, European Patent    Nippon Electric Glass (J), 2012, A2594536, , , , 2.52, , , , , , , , , , 
364, GP06-351254, European Patent    Schott AG (DE), 2012, A2595931, , , , 2.464, , , , , , , , , , 
365, GP06-351255, European Patent    Schott AG (DE), 2012, A2595931, , , , 2.49, , , , , , , , , , 
366, GP06-351256, European Patent    Schott AG (DE), 2012, A2595931, , , , 2.457, , , , , , , , , , 
367, GP06-351257, European Patent    Schott AG (DE), 2012, A2595931, , , , 2.449, , , , , , , , , , 
368, GP06-351258, European Patent    Schott AG (DE), 2012, A2595931, , , , 2.493, , , , , , , , , , 
369, GP03-351291, European Patent    Nippon Electric Glass (J), 2012, A2607326, , , , 2.639, , , , , , , , , , 
370, GP03-351292, European Patent    Nippon Electric Glass (J), 2012, A2607326, , , , 2.632, , , , , , , , , , 
371, GP03-351293, European Patent    Nippon Electric Glass (J), 2012, A2607326, , , , 2.644, , , , , , , , , , 
372, GP03-351294, European Patent    Nippon Electric Glass (J), 2012, A2607326, , , , 2.646, , , , , , , , , , 
373, GP03-351295, European Patent    Nippon Electric Glass (J), 2012, A2607326, , , , 2.644, , , , , , , , , , 
374, GP03-351296, European Patent    Nippon Electric Glass (J), 2012, A2607326, , , , 2.648, , , , , , , , , , 
375, GP03-351297, European Patent    Nippon Electric Glass (J), 2012, A2607326, , , , 2.631, , , , , , , , , , 
376, GP03-351298, European Patent    Nippon Electric Glass (J), 2012, A2607326, , , , 2.663, , , , , , , , , , 
377, GP03-351303, Japanese Patent    Others, 2013, A527106, , , , 2.9, , , , , , , , , , 
378, GP03-351304, Japanese Patent    Others, 2013, A527106, , , , 2.83, , , , , , , , , , 
379, GP03-351305, Japanese Patent    Others, 2013, A527106, , , , 2.91, , , , , , , , , , 
380, GP03-351306, Japanese Patent    Others, 2013, A527106, , , , 3.53, , , , , , , , , , 
381, GP03-351307, Japanese Patent    Others, 2013, A527106, , , , 3.52, , , , , , , , , , 
382, GP06-351308, Japanese Patent    Others, 2013, A527106, , , , 3.96, , , , , , , , , , 
383, GP03-351312, Japanese Patent    Others, 2013, A527106, , , , 3.47, , , , , , , , , , 
384, GP05-351313, Japanese Patent    Corning Inc. (US), 2013, A527115, , , , 2.31, , , , , , , , , , 
385, GP05-351314, Japanese Patent    Corning Inc. (US), 2013, A527115, , , , 2.33, , , , , , , , , , 
386, GP06-351315, Japanese Patent    Corning Inc. (US), 2013, A527115, , , , 2.334, , , , , , , , , , 
387, GP06-351316, Japanese Patent    Corning Inc. (US), 2013, A527115, , , , 2.261, , , , , , , , , , 
388, GP06-351317, Japanese Patent    Corning Inc. (US), 2013, A527115, , , , 2.261, , , , , , , , , , 
389, GP06-351318, Japanese Patent    Corning Inc. (US), 2013, A527115, , , , 2.261, , , , , , , , , , 
390, GP06-351319, Japanese Patent    Corning Inc. (US), 2013, A527115, , , , 2.261, , , , , , , , , , 
391, GP06-351320, Japanese Patent    Corning Inc. (US), 2013, A527115, , , , 2.261, , , , , , , , , , 
392, GP06-351321, Japanese Patent    Corning Inc. (US), 2013, A527115, , , , 2.261, , , , , , , , , , 
393, GP06-351322, Japanese Patent    Corning Inc. (US), 2013, A527115, , , , 2.261, , , , , , , , , , 
394, GP03-351356, Japanese Patent    Hoya Corp. (J), 2011, AW019010, , , , 2.7, , , 82.0, , , , , , , 
395, GP03-351357, Japanese Patent    Hoya Corp. (J), 2011, AW019010, , , , 2.7, , , 85.0, , , , , , , 
396, GP03-351358, Japanese Patent    Hoya Corp. (J), 2011, AW019010, , , , 2.7, , , 84.0, , , , , , , 
397, GP03-351359, Japanese Patent    Hoya Corp. (J), 2011, AW019010, , , , 2.8, , , 93.0, , , , , , , 
398, GP03-351360, Japanese Patent    Hoya Corp. (J), 2011, AW019010, , , , 2.7, , , 84.0, , , , , , , 
399, GP03-351361, Japanese Patent    Hoya Corp. (J), 2011, AW019010, , , , 2.8, , , 86.0, , , , , , , 
400, GP03-351362, Japanese Patent    Hoya Corp. (J), 2011, AW019010, , , , 2.8, , , 88.0, , , , , , , 
401, GP03-351363, Japanese Patent    Hoya Corp. (J), 2011, AW019010, , , , 2.95, , , 94.0, , , , , , , 
402, GP03-351364, Japanese Patent    Hoya Corp. (J), 2011, AW019010, , , , 2.7, , , 83.0, , , , , , , 
403, GP03-351365, Japanese Patent    Hoya Corp. (J), 2011, AW019010, , , , 2.7, , , 86.0, , , , , , , 
404, GP01-351381, Japanese Patent    AGC (J), 2011, AW021609, , , , , , , , , 6958.0, , 6958.0, , , 
405, GP01-351382, Japanese Patent    AGC (J), 2011, AW021609, , , , , , , , , 6860.0, , 6860.0, , , 
406, GP01-351383, Japanese Patent    AGC (J), 2011, AW021609, , , , , , , , , 7105.0, , 7105.0, , , 
407, GP01-351384, Japanese Patent    AGC (J), 2011, AW021609, , , , , , , , , 6958.0, , 6958.0, , , 
408, GP02-351385, Japanese Patent    Konica Minolta (J), 2011, AW037001, , , , , , , , 1.01, , , , , , 
409, GP02-351386, Japanese Patent    Konica Minolta (J), 2011, AW037001, , , , , , , , 1.24, , , , , , 
410, GP02-351387, Japanese Patent    Konica Minolta (J), 2011, AW037001, , , , , , , , 1.09, , , , , , 
411, GP02-351388, Japanese Patent    Konica Minolta (J), 2011, AW037001, , , , , , , , 1.08, , , , , , 
