Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density,,,,Common,,
OR,Young's Modulus,,,,Common,,
OR,Vickers Hardness,,,,Common,,
OR,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,350000,500000
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, Thermal Treatment, Bulk Density ( g/cm3 ), Density (Miscell) ( g/cm3 ), Density at RT ( g/cm3 ), Young's Modulus (Miscell) ( GPa ), Young's Modulus at <0C ( GPa ), Young's Modulus at RT ( GPa ), Fracture Toughness ( MPa.m1/2 ), Vickers Hardness (Typical) ( MPa ), Vickers Hardness 50g ( MPa ), Vickers Hardness 100g ( MPa ), Vickers Hardness 200g ( MPa ), Vickers Hardness 500g ( MPa ), Vickers Hardness (Miscell) ( MPa )
123, GP02-350398, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.479, , , , , , , , , , 
124, GP02-350399, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.496, , , , , , , , , , 
125, GP02-350400, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.584, , , , , , , , , , 
126, GP02-350401, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.796, , , , , , , , , , 
127, GP02-350402, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.546, , , , , , , , , , 
128, GP02-350403, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.538, , , , , , , , , , 
129, GP02-350404, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.537, , , , , , , , , , 
130, GP02-350405, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.551, , , , , , , , , , 
131, GP02-350406, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.435, , , , , , , , , , 
132, GP02-350407, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.468, , , , , , , , , , 
133, GP02-350408, Japanese Patent    Corning Inc. (US), 2012, A528071, , , , 2.63, , , , , , , , , , 
134, GP02-350410, Japanese Patent    Corning Inc. (US), 2012, A528072, , , , 2.446, , , , , , , , , , 
135, GP02-350411, Japanese Patent    Corning Inc. (US), 2012, A528072, , , , 2.502, , , , , , , , , , 
